Year,Competition,Discipline,Round,Rank,SkaterName,SkaterNation,StartingNumber,TSS,TES,PCS,DED,PC,Factor,PScoreofPanel,PScore,Role
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.50,J6
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.50,J7
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.25,J8
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,6.50,J9
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J1
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J2
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.75,J3
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J4
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J5
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J6
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,5.50,J7
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,4.75,J8
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Performance,1.60,5.54,6.00,J9
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,5.25,J1
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,5.75,J2
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,6.25,J3
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,6.00,J4
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,5.75,J5
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,6.00,J6
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,6.00,J7
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,5.00,J8
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Composition,1.60,5.86,6.50,J9
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.25,J1
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.50,J2
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.75,J3
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.75,J4
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.50,J5
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.75,J6
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.50,J7
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,5.25,J8
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Interpretation,1.60,5.57,6.50,J9
